"Source: Inter-Parliamentary Union Open Data","","","","","","","","",""
"Date: 2020-05-24","","","","","","","","",""
"Ranking as of 1st May 2020","","","","","","","","",""
"","","","","","","","","",""
"Rank","Country","Lower or single House","","","","Upper chamber","","",""
"","","Elections","Seats*","Women","% W","Elections","Seats*","Women","% W"
"82","Tajikistan","03.2020","63","15","23.81","03.2020","31","7","22.58"
"83","United States of America","11.2018","429","102","23.78","11.2018","100","25","25"
"84","Armenia","12.2018","132","31","23.48","-","-","-","-"
"85","Lesotho","06.2017","120","28","23.33","07.2017","32","7","21.88"
"86","Malawi","05.2019","192","44","22.92","-","-","-","-"
"87","Chile","11.2017","155","35","22.58","11.2017","43","10","23.26"
"88","Panama","05.2019","71","16","22.54","-","-","-","-"
"89","Czech Republic","10.2017","200","45","22.5","10.2018","81","12","14.81"
"“","Ireland","02.2020","160","36","22.5","03.2020","49","15","30.61"
"91","Venezuela (Bolivarian Republic of)","12.2015","167","37","22.16","-","-","-","-"
"92","Romania","12.2016","329","72","21.88","12.2016","136","20","14.71"
"93","Kenya","08.2017","349","76","21.78","08.2017","68","21","30.88"
"94","Bosnia and Herzegovina","10.2018","42","9","21.43","02.2019","15","3","20"
"95","Seychelles","09.2016","33","7","21.21","-","-","-","-"
"“","Uruguay","10.2019","99","21","21.21","10.2019","31","9","29.03"
"97","Honduras","11.2017","128","27","21.09","-","-","-","-"
"98","Equatorial Guinea","11.2017","100","21","21","11.2017","72","12","16.67"
"99","Bangladesh","12.2018","349","73","20.92","-","-","-","-"
"100","Ukraine","07.2019","423","88","20.8","-","-","-","-"
"101","Greece","07.2019","300","62","20.67","-","-","-","-"
"102","Morocco","10.2016","395","81","20.51","10.2015","120","14","11.67"
"103","Indonesia","04.2019","575","117","20.35","-","-","-","-"
"104","Mauritania","09.2018","153","31","20.26","-","-","-","-"
"105","Pakistan","07.2018","342","69","20.18","03.2018","104","20","19.23"
"106","Barbados","05.2018","30","6","20","06.2018","21","9","42.86"
"“","Cambodia","07.2018","125","25","20","02.2018","62","10","16.13"
"“","Mauritius","11.2019","70","14","20","-","-","-","-"
"“","Saint Kitts and Nevis","02.2015","15","3","20","-","-","-","-"
"“","Slovakia","02.2020","150","30","20","-","-","-","-"
"111","Saudi Arabia","12.2016","151","30","19.87","-","-","-","-"
"112","Cyprus","05.2016","56","11","19.64","-","-","-","-"
"113","Fiji","11.2018","51","10","19.61","-","-","-","-"
"114","Guatemala","06.2019","160","31","19.38","-","-","-","-"
"115","Croatia","09.2016","151","29","19.21","-","-","-","-"
"116","Kyrgyzstan","10.2015","120","23","19.17","-","-","-","-"
"117","Republic of Korea","04.2020","300","57","19","-","-","-","-"
"118","Togo","12.2018","91","17","18.68","-","-","-","-"
"119","Colombia","03.2018","169","31","18.34","03.2018","106","23","21.7"
"120","Democratic People's Republic of Korea","03.2019","687","121","17.61","-","-","-","-"
"121","Jamaica","02.2016","63","11","17.46","03.2016","21","5","23.81"
"122","Azerbaijan","02.2020","121","21","17.36","-","-","-","-"
"123","Mongolia","06.2016","75","13","17.33","-","-","-","-"
"124","Turkey","06.2018","589","102","17.32","-","-","-","-"
"125","Niger","02.2016","171","29","16.96","-","-","-","-"
"126","Zambia","08.2016","167","28","16.77","-","-","-","-"
"127","Comoros","02.2020","24","4","16.67","-","-","-","-"
"“","Saint Lucia","06.2016","18","3","16.67","07.2016","11","3","27.27"
"129","Paraguay","04.2018","80","13","16.25","04.2018","45","9","20"
"130","Libya","06.2014","188","30","15.96","-","-","-","-"
